"group2","attacks","deaths","injured"
"Unknown or Undefined",1515,2884,2014
"Islamic State",470,1636,962
"Hamas",9,1209,4524
"JNIM",112,1099,400
"Al-Shabaab",227,499,530
"Boko Haram",132,301,63
"Tehrik-e-Taliban Pakistan (TTP)",210,288,487
"Tehrik-e-Jihad Pakistan (TJP)",14,52,93
"Communist Party of India -  Maoist (CPI-M)",80,49,23
"National Liberation Army (ELN)",83,43,67
"AQAP",22,41,46
"FARC",88,41,68
"Balochistan Liberation Front (BLF)",23,36,12
"Indigenous People of Biafra - Eastern Security Network (IPOB-ESN)",16,28,5
"Balochistan Liberation Army (BLA)",42,23,66
"New People's Army (NPA)",12,18,12
"National Resistance Front of Afghanistan",13,14,12
"Kurdistan Workers' Party (PKK)",10,11,8
"Pro-junta armed groups",15,11,13
"Jaish Al-Adl",4,8,2
