"country","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Burkina Faso",114,113,111,110,52,30,21,15,7,6,4,2,1
"Israel",22,18,22,23,29,31,33,31,34,34,35,26,2
"Mali",40,22,19,21,16,13,10,9,8,7,7,4,3
"Pakistan",2,2,2,2,4,4,5,5,5,8,9,7,4
"Syria",19,4,4,5,6,7,7,8,6,5,6,5,5
"Afghanistan",3,3,3,4,3,3,2,2,1,1,1,1,6
"Somalia",5,7,7,7,8,5,3,3,3,3,3,3,7
"Nigeria",8,5,5,3,2,2,4,4,4,4,5,8,8
"Myanmar",17,20,23,29,41,43,40,42,23,24,10,9,9
"Niger",50,60,45,34,19,19,18,19,14,12,8,10,10
