"iep_country","iep_geocode","ID","event_id","iep_region","The West","year","start_date","end_date","latitude","longitude","admin_name","event_type","perpetrators_1_name","perpetrators_1_type","perpetrators_2_name","perpetrators_2_type","perpetrators_3_name","perpetrators_3_type","source_urls_01","source_urls_02","suicide","specific_target","targets_1","targets_2","targets_3","targets_4","targets_5","targets_6","targets_7","deaths_total","hostages_total","injured_total","terrorists_killed","weapons_1","weapons_2","weapons_3","weapons_4","summary","intensity","conflict"
"Myanmar","MMR","MMR.15_1",59440,"Asia-Pacific","non-West",2021,2021-06-01,2021-06-01,16.88193,96.05733,"Yangon","Armed attack","Unknown","Undetermined",NA,NA,NA,NA,"https://www.irrawaddy.com/news/burma/myanmar-daily-post-coup-update-june-1.html","https://myanmar-now.org/en/news/local-regime-official-shot-dead-in-hlaing-tharyar",FALSE,"Local regime officer","Government/Political",NA,NA,NA,NA,NA,NA,1,0,0,0,"Firearms",NA,NA,NA,"A gunman killed a local regime official in Ward 11, Hlaing Tharyar township, Yangon, Yangon region, at around 0800hrs on 1 June. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59441,"Asia-Pacific","non-West",2021,2021-06-02,2021-06-02,16.788406,96.167984,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://elevenmyanmar.com/news/an-explosion-occurred-near-noodle-store-in-thaketa-township-no-2-market","https://www.irrawaddy.com/news/burma/myanmar-daily-post-coup-update-june-1.html",FALSE,"Junta forces","Military",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"Three explosive devices targeted junta forces near Shilar store, Myanmar Gonyay road, Mingalar Taungnyunt township, Yangon, Yangon region, at 1900hrs on 2 June. No one was hurt. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59442,"Asia-Pacific","non-West",2021,2021-06-03,2021-06-03,16.804325,96.133316,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://elevenmyanmar.com/news/an-explosion-occurred-near-noodle-store-in-thaketa-township-no-2-market","https://twitter.com/PhoeChi82541121/status/1400487048470056965",FALSE,"Yonetaung ward office","Government/Political",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"Assailants detonated an explosive device outside the Yonetaung Ward Office on Kyuntaw street, Sanchaung township, Yangon, Yangon region, at around 1850hrs on 3 June. No one was hurt. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59443,"Asia-Pacific","non-West",2021,2021-06-06,2021-06-06,16.788618,96.19394,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://elevenmyanmar.com/news/an-explosion-occurred-near-noodle-store-in-thaketa-township-no-2-market","https://twitter.com/thurain85202422/status/1401534797890084865",FALSE,"Restaurant","Retail Sector",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"Assailants detonated a homemade explosive device outside Daw Phwar May Moh Hinghar shop, Thumana road, Yangon, Yangon region, at around 1400hrs on 6 June. No one was hurt. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59445,"Asia-Pacific","non-West",2021,2021-06-07,2021-06-07,16.804197,96.17722,"Yangon","Armed attack","Unknown","Undetermined",NA,NA,NA,NA,"https://elevenmyanmar.com/news/woman-administrator-shot-dead-in-tamwe-township","https://myanmar-now.org/en/news/coup-appointed-administrator-in-yangons-tamwe-township-allegedly-shot-dead?page=2&width=500&height=500&inline=true",FALSE,"Administrator","Government/Political",NA,NA,NA,NA,NA,NA,1,0,0,0,"Firearms",NA,NA,NA,"Gunmen killed a junta administrator outside her house Kyakwatthit Ward, Tamwe township, Yangon, Yangon region, at 1000hrs on 7 June. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59446,"Asia-Pacific","non-West",2021,2021-06-08,2021-06-08,16.848955,96.13728,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/itsmayfromburma/status/1402206065878437892","https://twitter.com/thandarwin01/status/1402206651373944834",FALSE,"Unclear","Undetermined",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"Two explosive devices detonated in Innya lake, Pyay road, Yangon, Yangon region, at around 1530hrs on 8 June. No one was hurt. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59447,"Asia-Pacific","non-West",2021,2021-06-09,2021-06-09,16.809376,96.129425,"Yangon","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/IrrawaddyNews/status/1402537215138287617","https://twitter.com/AungMyo10557263/status/1402537739329761280",FALSE,"Unclear","Undetermined",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"An explosive device wounded two civilians outside Khit San Thu tea shop, Baho Road, Sanchaung Township, Yangon, Yangon region, at 1250hrs on 9 June. No group had claimed the attack at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.13_1",59457,"Asia-Pacific","non-West",2021,2021-06-10,2021-06-10,22.955751,97.73856,"Shan","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/MAYMILE4/status/1402989273113006089","https://twitter.com/SpringBago/status/1402923459726909441",FALSE,"Police office, university","Law Enforcement/Internal Security Forces","Education Sector",NA,NA,NA,NA,NA,0,0,2,0,"Explosives",NA,NA,NA,"A bombing wounded two people near a police district office and Lashio University in Lashio, Shan State, early in the morning of 10 June. It is unclear who the victims were. No one had claimed responsibility at the time of writing, but 'civil resistance groups' operate in the area.","war","conflict"
"Myanmar","MMR","MMR.15_1",59483,"Asia-Pacific","non-West",2021,2021-06-10,2021-06-10,16.768751,96.17274,"Yangon","Armed attack","Unknown","Undetermined",NA,NA,NA,NA,"https://myanmar-now.org/en/news/former-usdp-mp-assassinated-as-wave-of-killings-continues","https://twitter.com/yehtoot5/status/1402999381528244238",FALSE,"USDP representative","Government/Political",NA,NA,NA,NA,NA,NA,1,0,0,0,"Firearms",NA,NA,NA,"Two gunmen killed a representative of the Union Solidarity and Development Party (USDP) - a party connected to the military junta - at the Botahtaung Pagoda Market in Botahtaung Township, Yangon, Yangon region, on 10 June. No one had claimed responsibility for the attack at the time of writing, but given target and tactic, a 'civil resistance group' was probably responsible.","war","conflict"
"Myanmar","MMR","MMR.8_1",59484,"Asia-Pacific","non-West",2021,2021-06-11,2021-06-11,21.466223,95.38872,"Mandalay","Bombing","Unknown","Undetermined",NA,NA,NA,NA,"https://twitter.com/Olysseus1/status/1403262023224360964","https://twitter.com/EithetKm/status/1403349325476945922",FALSE,"Ward office","Government/Political",NA,NA,NA,NA,NA,NA,0,0,0,0,"Explosives",NA,NA,NA,"A bomb of unknown type detonated outside a ward office in Myingyan Township, Mandalay region, at around 0900hrs on 11 June. No one was hurt. No one had claimed responsibility at the time of writing, but based on target and tactic, 'civil resistance groups' were probably responsible.","war","conflict"
